Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"delannoy","Delannoy number calculation","10","0.0198400","0.0138667","0.0030933","3610.666666667","4.000e-05","0.0198000","0.0198800","2.000e-09","High precision mode (250 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy","Delannoy number calculation","12","0.133867","0.126533","0.0035667","3616.000000000","6.429e-04","0.133400","0.134600","4.130e-07","High precision mode (100 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy","Delannoy number calculation","13","0.646000","0.636000","1.000e-10","3623.200000000","0.0313050","0.620000","0.700000","9.800e-04","Target precision of 0.05 reached after 5 runs, Cache cleared"
"delannoy","Delannoy number calculation","14","3.863333","3.853333","1.000e-10","3592.000000000","0.0208167","3.840000","3.880000","4.333e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"delannoy","Delannoy number calculation","15","54.783333","54.766667","0.0033333","3630.666666667","0.897905","53.930000","55.720000","0.806233","Target precision of 0.05 reached after 3 runs, Cache cleared"
"filegen","Small file benchmark","5 10 1024 4096","0.0060800","6.533e-04","0.0015333","3552.000000000","1.039e-04","0.0060200","0.0062000","1.100e-08","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared"
"filegen","Medium file benchmark","10 30 4096 16384","0.0721733","0.0350533","0.0323067","3586.666666667","6.661e-04","0.0716400","0.0729200","4.440e-07","High precision mode (250 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared"
"filegen","Large file benchmark","20 50 16384 65536","0.656667","0.470000","0.166667","3590.666666667","0.0152753","0.640000","0.670000","2.333e-04","Target precision of 0.05 reached after 3 runs, Cache cleared"
"filegen","Mixed size benchmark","30 60 16384 1048576","12.746667","10.956667","1.773333","3578.666666667","0.0737111","12.690000","12.830000","0.0054333","Target precision of 0.05 reached after 3 runs, Cache cleared"
"filesearch","Simple search test","","0.0011933","1.333e-05","2.667e-04","3598.666666667","2.309e-05","0.0011800","0.0012200","1.000e-09","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared, Depends on: filegen 5 10 1024 4096"
"filesearch","Medium complexity search","","0.0022533","4.667e-05","4.067e-04","3533.333333333","4.163e-05","0.0022200","0.0023000","2.000e-09","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared, Depends on: filegen 15 45 4096 32768"
"filesearch","Deep directory search","","0.0030200","1.000e-04","5.533e-04","3573.333333333","7.211e-05","0.0029600","0.0031000","5.000e-09","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared, Depends on: filegen 25 45 8192 16384"
"filesearch","Large file search","","0.0027933","7.333e-05","5.067e-04","3541.333333333","1.102e-04","0.0027200","0.0029200","1.200e-08","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 3 runs, Cache cleared, Depends on: filegen 20 50 262144 1048576"
"filesearch","Many small files search","","0.0043550","1.250e-04","0.0010250","3556.000000000","1.769e-04","0.0042600","0.0046200","3.100e-08","High precision mode (500 iterations per measurement) Target precision of 0.05 reached after 4 runs, Cache cleared, Depends on: filegen 20 100 512 4096"
