Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"delannoy_gcc_-O0","Delannoy number calculation","13","9.556667","9.590000000","0","3556","9.536667","1.000e-10","0.0410961","9.510000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O1","Delannoy number calculation","13","6.020000","6.010000000","0","3596","6.010000","1.000e-10","1.000e-10","6.020000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O2","Delannoy number calculation","13","4.280000","4.280000000","0","3600","4.273333","1.000e-10","0.0141421","4.260000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-O3","Delannoy number calculation","13","4.273333","4.290000000","0","3592","4.266667","1.000e-10","0.0124722","4.260000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-Os","Delannoy number calculation","13","5.826667","5.800000000","0","3516","5.816667","1.000e-10","0.0124722","5.810000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"delannoy_gcc_-Ofast","Delannoy number calculation","13","4.510000","4.490000000","0","3580","4.503333","1.000e-10","0.0081649","4.500000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O0","N-body simulation","","17.860000","17.810000000","0","3488","17.826667","1.000e-10","0.0282843","17.840000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O1","N-body simulation","","10.353333","10.340000000","0","3392","10.336667","1.000e-10","0.0249444","10.320000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O2","N-body simulation","","10.343333","10.310000000","0","3508","10.323333","1.000e-10","0.0188562","10.330000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-O3","N-body simulation","","10.350000","10.310000000","0","3492","10.326667","1.000e-10","0.0163299","10.330000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-Os","N-body simulation","","10.340000","10.320000000","0","3520","10.320000","1.000e-10","0.0163299","10.320000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"nbody_gcc_-Ofast","N-body simulation","","7.520000","7.500000000","0","3540","7.500000","1.000e-10","1.000e-10","7.520000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O0","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","13.936667","13.900000000","0","3480","13.906667","1.000e-10","0.0047140","13.930000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O1","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.550000","3.530000000","0","3608","3.543333","1.000e-10","0.0081649","3.540000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O2","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.220000","3.200000000","0","3528","3.210000","1.000e-10","0.0081649","3.210000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-O3","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.176667","3.160000000","0","3504","3.166667","1.000e-10","0.0047140","3.170000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-Os","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.653333","3.640000000","0","3552","3.643333","1.000e-10","0.0124722","3.640000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"qap_gcc_-Ofast","Quadratic Assignment Problem","small_samples/qap/problems/chr15c.dat","3.180000","3.180000000","0","3524","3.173333","1.000e-10","0.0081649","3.170000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O0","Matrix multiplication","","5.766667","5.710000000","0","24992","5.743333","0.0033333","0.0286744","5.730000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O1","Matrix multiplication","","2.150000","2.070000000","0","24968","2.140000","1.000e-10","0.0827647","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O2","Matrix multiplication","","2.130000","2.080000000","0","25016","2.117500","0.0025000","0.0809321","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-O3","Matrix multiplication","","2.090000","2.090000000",".010000000","24824","2.076667","0.0066667","0.0163299","2.070000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_gcc_-Os","Matrix multiplication","","2.165000","2.190000000","0","24968","2.155000","1.000e-10","0.0804674","2.080000","Target precision of 0.05 reached after 4 runs , Cluster execution, Cache cleared"
"mmul_gcc_-Ofast","Matrix multiplication","","2.083333","2.080000000","0","24940","2.073333","1.000e-10","0.0047140","2.080000","Target precision of 0.05 reached after 3 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O0","15","9.738333","9.650000000","0","8140","9.708333","1.000e-10","0.0958152","9.590000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O1","15","5.805000","5.740000000","0","8172","5.781667","1.000e-10","0.0415331","5.770000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O2","15","4.903333","4.880000000","0","8160","4.886667","1.000e-10","0.0430762","4.810000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark O3","15","4.778333","4.800000000","0","8128","4.760000","1.000e-10","0.0466964","4.700000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark Os","15","6.243333","6.100000000","0","8140","6.220000","1.000e-10","0.0573488","6.120000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"ssca2","ssca2 Benchmark Ofast","15","4.705000","4.630000000","0","8152","4.686667","1.000e-10","0.0438748","4.640000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O0","","11.596667","11.540000000","0","4500","11.563333","1.000e-10","0.0749815","11.490000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O1","","3.116667","3.120000000","0","4604","3.105000","1.000e-10","0.0124722","3.100000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O2","","3.223333","3.230000000","0","4540","3.210000","1.000e-10","0.0110554","3.210000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark O3","","3.021667","3.000000000","0","4396","3.006667","1.000e-10","0.0037267","3.020000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark Os","","3.013333","2.990000000","0","4380","3.000000","1.000e-10","0.0094280","3.000000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
"npb_bt_w","NPB BT Benchmark Ofast","","3.008333","3.010000000","0","4488","2.995000","1.000e-10","0.0089752","3.000000","Target precision of 0.05 reached after 6 runs , Cluster execution, Cache cleared"
