Program,Flag,O2 Time (s),Flag Time (s),Improvement (%)
small_samples/delannoy/delannoy,-O3 (full),.590604,.614841,-4.10
small_samples/delannoy/delannoy,-fgcse-after-reload,.590604,.587900,.45
small_samples/delannoy/delannoy,-fipa-cp-clone,.590604,.588819,.30
small_samples/delannoy/delannoy,-floop-interchange,.590604,.591864,-.21
small_samples/delannoy/delannoy,-floop-unroll-and-jam,.590604,.586756,.65
small_samples/delannoy/delannoy,-fpeel-loops,.590604,.592847,-.37
small_samples/delannoy/delannoy,-fpredictive-commoning,.590604,.591232,-.10
small_samples/delannoy/delannoy,-fsplit-loops,.590604,.586439,.70
small_samples/delannoy/delannoy,-fsplit-paths,.590604,.585865,.80
small_samples/delannoy/delannoy,-ftree-loop-distribution,.590604,.593115,-.42
small_samples/delannoy/delannoy,-ftree-partial-pre,.590604,.633819,-7.31
small_samples/delannoy/delannoy,-funswitch-loops,.590604,.587794,.47
small_samples/delannoy/delannoy,-fvect-cost-model=dynamic,.590604,.577522,2.21
small_samples/delannoy/delannoy,-fversion-loops-for-strides,.590604,.579783,1.83
small_samples/nbody/nbody,-O3 (full),1.999339,2.040039,-2.03
small_samples/nbody/nbody,-fgcse-after-reload,1.999339,2.037007,-1.88
small_samples/nbody/nbody,-fipa-cp-clone,1.999339,1.999427,0
small_samples/nbody/nbody,-floop-interchange,1.999339,1.997910,.07
small_samples/nbody/nbody,-floop-unroll-and-jam,1.999339,2.018190,-.94
small_samples/nbody/nbody,-fpeel-loops,1.999339,1.992835,.32
small_samples/nbody/nbody,-fpredictive-commoning,1.999339,1.993932,.27
small_samples/nbody/nbody,-fsplit-loops,1.999339,1.998055,.06
small_samples/nbody/nbody,-fsplit-paths,1.999339,2.027353,-1.40
small_samples/nbody/nbody,-ftree-loop-distribution,1.999339,2.030962,-1.58
small_samples/nbody/nbody,-ftree-partial-pre,1.999339,2.001132,-.08
small_samples/nbody/nbody,-funswitch-loops,1.999339,2.004603,-.26
small_samples/nbody/nbody,-fvect-cost-model=dynamic,1.999339,1.992058,.36
