Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"mmul_gcc_-O3_-DS=2048","Baseline S=2048","","73.040000","72.240000000",".020000000","99768","72.843333","0.0166667","0.751132","72.450000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=8","Tiling S=2048 T=8","","14.203333","14.200000000",".030000000","99784","14.123333","0.0300000","0.0471404","14.170000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=16","Tiling S=2048 T=16","","16.013333","15.920000000",".030000000","99820","15.916667","0.0333333","0.0612826","15.940000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=32","Tiling S=2048 T=32","","19.770000","19.800000000",".020000000","99836","19.703333","0.0233333","0.177951","19.520000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=64","Tiling S=2048 T=64","","18.593333","18.490000000",".030000000","99840","18.530000","0.0233333","0.132749","18.450000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=128","Tiling S=2048 T=128","","18.333333","18.350000000",".020000000","99840","18.273333","0.0266667","0.101434","18.190000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=256","Tiling S=2048 T=256","","18.090000","18.040000000",".030000000","99816","18.016667","0.0300000","0.0432049","18.030000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=512","Tiling S=2048 T=512","","18.003333","17.820000000",".030000000","99792","17.930000","0.0300000","0.0817856","17.890000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=1024","Tiling S=2048 T=1024","","61.900000","61.340000000",".060000000","99844","61.653333","0.0566667","0.267333","61.620000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=2048","Tiling S=2048 T=2048","","72.186667","71.630000000",".070000000","99820","71.923333","0.0666667","0.448504","71.840000","Target precision of 0.15 reached after 3 runs , Cluster execution, Cache cleared"
