Program,Description,Parameters,Avg Time (s),User CPU (s),System CPU (s),Memory (KB),Std Dev (s),Min Time (s),Max Time (s),Variance (s²),Notes
"mmul_gcc_-O3_-DS=2048","Baseline S=2048","","72.573333","72.400000","0.0166667","99792.000000000","0.156950","72.450000","72.750000","0.0246333","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=8","Tiling S=2048 T=8","","14.260000","14.193333","0.0266667","99788.000000000","0.0624500","14.210000","14.330000","0.0039000","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=16","Tiling S=2048 T=16","","16.013333","15.936667","0.0266667","99809.333333333","0.0404145","15.990000","16.060000","0.0016333","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=32","Tiling S=2048 T=32","","19.980000","19.916667","0.0300000","99808.000000000","0.0173205","19.960000","19.990000","3.000e-04","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=64","Tiling S=2048 T=64","","18.776667","18.720000","0.0266667","99781.333333333","0.0602771","18.720000","18.840000","0.0036333","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=128","Tiling S=2048 T=128","","18.400000","18.330000","0.0300000","99806.666666667","0.0173205","18.380000","18.410000","3.000e-04","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=256","Tiling S=2048 T=256","","18.170000","18.103333","0.0266667","99816.000000000","0.0458258","18.120000","18.210000","0.0021000","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=512","Tiling S=2048 T=512","","18.070000","18.000000","0.0333333","99800.000000000","0.0519615","18.040000","18.130000","0.0027000","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=1024","Tiling S=2048 T=1024","","61.996667","61.783333","0.0500000","99813.333333333","0.550121","61.440000","62.540000","0.302633","Target precision of 0.15 reached after 3 runs, Cache cleared"
"mmul_tiling_gcc_-O3_-DS=2048_-DT=2048","Tiling S=2048 T=2048","","72.753333","72.540000","0.0533333","99742.666666667","0.430387","72.490000","73.250000","0.185233","Target precision of 0.15 reached after 3 runs, Cache cleared"
