container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
array,10,8,0.0,3.0,0,1,31270634.67,3.0,187623802,1576,2.99,0.0,1.5390625,False
array,10,8,0.0,3.0,0,2,31403125.33,3.0,188418746,1552,2.99,0.0,1.515625,False
array,10,8,0.0,3.0,0,3,31233717.33,3.0,187402300,1572,2.99,0.0,1.53515625,False
array,10,8,0.0,3.0,1,1,25518304.0,3.0,214353754,1480,2.99,0.0,1.4453125,False
array,10,8,0.0,3.0,1,2,25456053.33,3.0,213830848,1460,2.99,0.0,1.42578125,False
array,10,8,0.0,3.0,1,3,25484768.0,3.0,214072054,1608,2.99,0.0,1.5703125,False
array,10,512,0.0,3.0,0,1,31176138.67,3.0,187056826,1472,2.99,0.0,1.4375,False
array,10,512,0.0,3.0,0,2,31280928.0,3.0,187685562,1600,2.99,0.0,1.5625,False
array,10,512,0.0,3.0,0,3,31260256.0,3.0,187561532,1592,2.99,0.0,1.5546875,False
array,10,512,0.0,3.0,1,1,25513578.67,3.0,199005919,1568,2.99,0.0,1.53125,False
array,10,512,0.0,3.0,1,2,25390316.87,3.0,198044543,1480,2.99,0.0,1.4453125,False
array,10,512,0.0,3.0,1,3,25512533.33,3.0,198997760,1488,2.99,0.0,1.453125,False
array,10,8388608,0.0,3.0,0,1,31188597.33,3.0,187131580,19304,2.99,0.0,18.8515625,False
array,10,8388608,0.0,3.0,0,2,30222912.0,3.0,181337466,19388,2.99,0.0,18.93359375,False
array,10,8388608,0.0,3.0,0,3,31021098.67,3.0,186126586,19364,2.99,0.0,18.91015625,False
array,10,8388608,0.0,3.0,1,1,25423232.0,3.0,198301215,19292,2.99,0.0,18.83984375,False
array,10,8388608,0.0,3.0,1,2,25521098.67,3.0,199064575,19300,2.99,0.0,18.84765625,False
array,10,8388608,0.0,3.0,1,3,25620576.0,3.0,199840495,19288,2.99,0.0,18.8359375,False
array,1000,8,0.0,3.0,0,1,30484042.67,3.0,1342441552,1564,2.99,0.0,1.52734375,False
array,1000,8,0.0,3.0,0,2,30669301.33,3.0,1481113872,1576,2.99,0.0,1.5390625,False
array,1000,8,0.0,3.0,0,3,30481269.33,3.0,1340354832,1660,2.99,0.0,1.62109375,False
array,1000,8,0.0,3.0,1,1,25553452.82,3.0,1957700662,1584,2.99,0.0,1.546875,False
array,1000,8,0.0,3.0,1,2,25297845.33,3.0,1766261262,1600,2.99,0.0,1.5625,False
array,1000,8,0.0,3.0,1,3,25467541.33,3.0,1893351690,1592,2.99,0.0,1.5546875,False
array,1000,512,0.0,3.0,0,1,30533536.0,3.0,1379455632,1972,2.99,0.0,1.92578125,False
array,1000,512,0.0,3.0,0,2,30620256.0,3.0,1444380592,1884,2.99,0.0,1.83984375,False
array,1000,512,0.0,3.0,0,3,30737130.67,3.0,1531846240,1976,2.99,0.0,1.9296875,False
array,1000,512,0.0,3.0,1,1,25054410.67,3.0,1583954259,1880,2.99,0.0,1.8359375,False
array,1000,512,0.0,3.0,1,2,25084917.33,3.0,1606796731,1996,2.99,0.0,1.94921875,False
array,1000,512,0.0,3.0,1,3,25405877.33,3.0,1847170327,1972,2.99,0.0,1.92578125,False
array,100000,8,0.0,3.0,0,1,31256085.33,3.0,1920295776,2292,2.99,0.0,2.23828125,False
array,100000,8,0.0,3.0,0,2,31158688.0,3.0,1847426512,2232,2.99,0.0,2.1796875,False
array,100000,8,0.0,3.0,0,3,31293205.33,3.0,1948068576,2232,2.99,0.0,2.1796875,False
array,100000,8,0.0,3.0,1,1,24986442.67,3.0,1544206354,2764,2.99,0.0,2.69921875,False
array,100000,8,0.0,3.0,1,2,25165152.0,3.0,1678166543,2672,2.99,0.0,2.609375,False
array,100000,8,0.0,3.0,1,3,24971029.33,3.0,1532697513,2672,2.99,0.0,2.609375,False
array,100000,512,0.0,3.0,0,1,24988981.33,3.0,1524370128,51568,2.99,0.0,50.359375,False
array,100000,512,0.0,3.0,0,2,25024608.0,3.0,1551013648,51280,2.99,0.0,50.078125,False
array,100000,512,0.0,3.0,0,3,25210176.0,3.0,1689885248,51584,2.99,0.0,50.375,False
array,100000,512,0.0,3.0,1,1,15210778.93,3.0,-1486375555,51780,2.99,0.0,50.56640625,False
array,100000,512,0.0,3.0,1,2,15151888.28,3.0,-1530554512,51968,2.99,0.0,50.75,False
array,100000,512,0.0,3.0,1,3,15211632.26,3.0,-1485740734,51888,2.99,0.01,50.671875,False
array,10000000,8,0.0,3.0,0,1,31056053.33,3.0,1770585840,89152,3.06,0.01,87.0625,False
array,10000000,8,0.0,3.0,0,2,31088458.67,3.0,1794816176,89232,3.06,0.01,87.140625,False
array,10000000,8,0.0,3.0,0,3,31061461.33,3.0,1774608192,89204,3.06,0.01,87.11328125,False
array,10000000,8,0.0,3.0,1,1,15902597.37,3.0,-972208221,128376,3.37,0.01,125.3671875,False
array,10000000,8,0.0,3.0,1,2,15896362.67,3.0,-976896064,128456,3.38,0.02,125.4453125,False
array,10000000,8,0.0,3.0,1,3,15938378.67,3.0,-945464526,128368,3.37,0.02,125.359375,False
