container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
array,10,8,0.0,3.0,0,0,37097653.33,3.0,222585920,1720,2.97,0.0,1.6796875,False
array,10,8,0.0,3.0,0,1,36573834.67,3.0,219443002,1724,2.97,0.0,1.68359375,False
array,10,8,0.0,3.0,1,0,32742357.33,3.0,225922267,1732,2.95,0.0,1.69140625,False
array,10,8,0.0,3.0,0,2,33619488.0,3.0,201716922,1752,2.79,0.0,1.7109375,False
array,10,8,0.0,3.0,1,1,31712064.1,3.0,218813316,1712,2.98,0.0,1.671875,False
array,10,8,0.0,3.0,1,2,31689642.67,3.0,218658536,1788,2.95,0.0,1.74609375,False
array,10,512,0.0,3.0,0,0,33195701.33,3.0,199174202,1724,2.8,0.0,1.68359375,False
array,10,512,0.0,3.0,0,1,36625248.0,3.0,219751482,1724,2.97,0.0,1.68359375,False
array,10,512,0.0,3.0,1,0,31401269.33,3.0,216668760,1792,2.96,0.0,1.75,False
array,10,512,0.0,3.0,0,2,33528256.0,3.0,201169532,1756,2.96,0.0,1.71484375,False
array,10,512,0.0,3.0,1,1,31982240.0,3.0,220677456,1752,2.96,0.0,1.7109375,False
array,10,512,0.0,3.0,1,2,31294250.67,3.0,215930331,1764,2.97,0.0,1.72265625,False
array,1000,8,0.0,3.0,0,1,37034698.67,3.0,1950646480,1768,2.92,0.0,1.7265625,False
array,1000,8,0.0,3.0,0,2,38354133.33,3.0,-1356762272,1748,2.97,0.0,1.70703125,False
array,1000,8,0.0,3.0,1,0,31065354.67,3.0,2080095695,1732,2.97,0.0,1.69140625,False
array,1000,8,0.0,3.0,1,2,31890080.0,3.0,-1589532474,1788,2.97,0.0,1.74609375,False
array,1000,8,0.0,3.0,0,0,38025758.92,3.001,-1590300400,1796,2.97,0.0,1.75390625,False
array,10,8388608,0.0,3.0,0,0,35513376.0,3.0,213080252,19664,2.92,0.01,19.203125,False
array,10,8388608,0.0,3.0,1,2,30397013.33,3.0,209739392,19628,2.84,0.01,19.16796875,False
array,10,8388608,0.0,3.0,0,1,35829952.0,3.0,214979706,19512,2.98,0.01,19.0546875,False
array,10,8388608,0.0,3.0,1,0,30834816.0,3.0,212760232,19500,2.93,0.01,19.04296875,False
array,10,8388608,0.0,3.0,0,2,32556689.15,3.0,195352826,19584,2.87,0.01,19.125,False
array,10,8388608,0.0,3.0,1,1,30216672.0,3.0,208495041,19660,2.77,0.03,19.19921875,False
array,1000,8,0.0,3.0,1,1,31091046.06,3.0,2099736403,1788,2.95,0.0,1.74609375,False
array,1000,512,0.0,3.0,0,0,41936128.0,3.0,1324361600,2064,2.96,0.0,2.015625,False
array,1000,512,0.0,3.0,0,1,43941354.67,3.0,-1469649376,2196,2.97,0.0,2.14453125,False
array,1000,512,0.0,3.0,1,1,36725888.0,3.0,1321119411,2120,2.96,0.0,2.0703125,False
array,1000,512,0.0,3.0,1,0,35730858.67,3.0,587134796,2188,2.93,0.0,2.13671875,False
array,1000,512,0.0,3.0,0,2,40826469.54,3.0,494493040,2088,2.97,0.0,2.0390625,False
array,1000,512,0.0,3.0,1,2,34969706.67,3.0,25670955,2108,2.97,0.0,2.05859375,False
array,100000,8,0.0,3.0,0,2,43179136.0,3.0,-2040215456,2360,2.97,0.0,2.3046875,False
array,100000,8,0.0,3.0,0,1,47051838.3,3.0,859445472,2380,2.97,0.0,2.32421875,False
array,100000,8,0.0,3.0,1,0,36508885.33,3.0,1503226011,2980,2.96,0.0,2.91015625,False
array,100000,8,0.0,3.0,1,1,34748576.0,3.0,188276795,2848,2.97,0.0,2.78125,False
array,100000,8,0.0,3.0,1,2,39864448.0,3.0,-285053422,2948,2.98,0.0,2.87890625,False
array,100000,8,0.0,3.0,0,0,44882250.67,3.0,-765420368,2368,2.88,0.0,2.3125,False
array,100000,512,0.0,3.0,0,0,38678874.89,3.0,-1113149072,51508,2.96,0.02,50.30078125,False
array,100000,512,0.0,3.0,0,1,39160755.32,3.0,-752500640,51464,2.95,0.05,50.2578125,False
array,100000,512,0.0,3.0,0,2,40812576.0,3.0,483392560,51500,2.99,0.04,50.29296875,False
array,100000,512,0.0,3.0,1,1,9777689.48,3.0,-1285721429,51920,2.95,0.05,50.703125,False
array,100000,512,0.0,3.0,1,0,9867143.38,3.0,-1218949906,52012,2.99,0.04,50.79296875,False
array,100000,512,0.0,3.0,1,2,9667456.0,3.0,-1368124552,51948,2.99,0.05,50.73046875,False
array,10000000,8,0.0,3.0,0,1,41723370.67,3.0,1165147008,89420,3.06,0.08,87.32421875,False
array,10000000,8,0.0,3.0,0,2,48880138.67,3.0,-2067982608,89412,3.05,0.1,87.31640625,False
array,10000000,8,0.0,3.0,0,0,45349802.67,3.0,-415471456,89540,2.99,0.14,87.44140625,False
array,10000000,8,0.0,3.0,1,0,11620134.79,3.0,117205462,128512,3.71,0.14,125.5,False
array,10000000,8,0.0,3.0,1,2,12203786.67,3.0,554163626,128592,3.77,0.12,125.578125,False
array,10000000,8,0.0,3.0,1,1,12051974.65,3.0,440255330,128484,3.75,0.14,125.47265625,False
array,10,8,0.01,3.0,0,1,36826378.67,3.0,220958266,1700,2.96,0.01,1.66015625,False
array,10,8,0.01,3.0,0,2,37425130.67,3.0,224550780,1768,2.97,0.0,1.7265625,False
array,10,8,0.01,3.0,0,0,35243712.0,3.0,211462266,1720,2.96,0.0,1.6796875,False
array,10,8,0.01,3.0,1,0,31132864.0,3.0,289535632,1708,2.93,0.0,1.66796875,False
array,10,8,0.01,3.0,1,1,30489568.0,3.0,283552982,1716,2.85,0.0,1.67578125,False
array,10,8,0.01,3.0,1,2,33002794.67,3.0,306925990,1708,2.98,0.0,1.66796875,False
array,10,512,0.01,3.0,0,0,36178910.78,3.0,217086266,1716,2.97,0.0,1.67578125,False
array,10,512,0.01,3.0,0,2,37473557.33,3.0,224841340,1756,2.95,0.0,1.71484375,False
array,10,512,0.01,3.0,1,1,33181066.67,3.0,308583920,1724,3.0,0.0,1.68359375,False
array,10,512,0.01,3.0,0,1,38168565.33,3.0,229011386,1752,2.98,0.0,1.7109375,False
array,10,512,0.01,3.0,1,0,29335341.29,3.003,273065755,1764,2.78,0.01,1.72265625,False
array,10,8388608,0.01,3.0,0,0,34296128.0,3.0,205776762,19660,2.98,0.0,19.19921875,False
array,10,8388608,0.01,3.0,0,1,35341897.55,3.0,212051452,19580,2.98,0.0,19.12109375,False
