Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 79.06     20.65    20.65        1    20.65    24.45  luaV_execute
  9.80     23.21     2.56 310000031     0.00     0.00  luaD_pretailcall
  4.44     24.37     1.16 306946270     0.00     0.00  luaD_precall
  1.74     24.83     0.46 271946189     0.00     0.00  luaH_getshortstr
  0.73     25.02     0.19                             _init
  0.52     25.15     0.14       12     0.01     0.01  luaH_getint
  0.50     25.28     0.13 25000004     0.00     0.00  forprep
  0.46     25.40     0.12 35000103     0.00     0.00  luaT_getvarargs
  0.42     25.51     0.11                             unroll
  0.31     25.59     0.08 10000001     0.00     0.00  luaF_findupval
  0.27     25.66     0.07 20000290     0.00     0.00  luaC_newobj
  0.19     25.71     0.05 25000004     0.00     0.00  luaV_tointeger
  0.19     25.76     0.05 20000290     0.00     0.00  freeobj
  0.19     25.81     0.05 10000002     0.00     0.00  luaF_closeupval
  0.15     25.85     0.04 20000430     0.00     0.00  luaM_free_
  0.15     25.89     0.04 20000364     0.00     0.00  luaM_malloc_
  0.15     25.93     0.04        4     0.01     0.01  luaT_adjustvarargs
  0.11     25.96     0.03   819684     0.00     0.00  dothecall
  0.11     25.99     0.03   163937     0.00     0.00  luaS_clearcache
  0.08     26.01     0.02   327935     0.00     0.00  propagatemark
  0.04     26.02     0.01 40000949     0.00     0.00  l_alloc
  0.04     26.03     0.01 10000006     0.00     0.00  luaF_newLclosure
  0.04     26.04     0.01   163937     0.00     0.00  luaD_shrinkstack
  0.04     26.05     0.01        3     0.00     0.00  luaM_saferealloc_
  0.04     26.06     0.01        1     0.01     0.01  enterinc
  0.04     26.07     0.01        1     0.01     0.01  luaF_initupvals
  0.04     26.08     0.01                             luaC_newobjdt
  0.04     26.09     0.01                             luaF_unlinkupval
  0.04     26.10     0.01                             luaM_toobig
  0.04     26.11     0.01                             luaV_tointegerns
  0.04     26.12     0.01                             panic
  0.00     26.12     0.00   655748     0.00     0.00  clearbyvalues
  0.00     26.12     0.00   655748     0.00     0.00  correctgraylist
  0.00     26.12     0.00   328167     0.00     0.00  reallymarkobject
  0.00     26.12     0.00   327874     0.00     0.00  clearbykeys
  0.00     26.12     0.00   327874     0.00     0.00  convergeephemerons
  0.00     26.12     0.00   163945     0.00     0.00  luaE_setdebt
  0.00     26.12     0.00   163943     0.00     0.00  luaC_step
  0.00     26.12     0.00   163938     0.00     0.00  separatetobefnz
  0.00     26.12     0.00   163937     0.00     0.00  atomic
  0.00     26.12     0.00   163937     0.00     0.00  finishgencycle
  0.00     26.12     0.00   163937     0.00     0.00  luaE_shrinkCI
  0.00     26.12     0.00      676     0.00     0.00  save
  0.00     26.12     0.00      562     0.00     0.00  luaS_newudata
  0.00     26.12     0.00      395     0.00     0.00  luaH_newkey
  0.00     26.12     0.00      373     0.00     0.00  luaH_getstr
  0.00     26.12     0.00      364     0.00     0.00  luaS_newlstr
  0.00     26.12     0.00      357     0.00     0.00  internshrstr
  0.00     26.12     0.00      357     0.00     0.00  luaM_growaux_
  0.00     26.12     0.00      323     0.00     0.00  luaS_new
  0.00     26.12     0.00      254     0.00     0.00  luaH_finishset
  0.00     26.12     0.00      236     0.00     0.00  luaS_remove
  0.00     26.12     0.00      234     0.00     0.00  llex
  0.00     26.12     0.00      234     0.00     0.00  luaX_next
  0.00     26.12     0.00      224     0.00     0.00  luaH_get
  0.00     26.12     0.00      214     0.00     0.00  auxsetstr
  0.00     26.12     0.00      203     0.00     0.00  luaV_finishset
  0.00     26.12     0.00      203     0.00     0.00  lua_setfield
  0.00     26.12     0.00      191     0.00     0.00  luaK_dischargevars
  0.00     26.12     0.00      168     0.00     0.00  lua_pushcclosure
  0.00     26.12     0.00      162     0.00     0.00  savelineinfo
  0.00     26.12     0.00      153     0.00     0.00  luaM_realloc_
  0.00     26.12     0.00      126     0.00     0.00  luaK_code
  0.00     26.12     0.00      123     0.00     0.00  check_match
  0.00     26.12     0.00      122     0.00     0.00  luaX_newstring
  0.00     26.12     0.00      110     0.00     0.00  luaH_realasize
  0.00     26.12     0.00       96     0.00     0.00  luaE_incCstack
  0.00     26.12     0.00       82     0.00     0.00  lua_settop
  0.00     26.12     0.00       70     0.00     0.00  index2value
  0.00     26.12     0.00       66     0.00     0.00  discharge2reg
  0.00     26.12     0.00       66     0.00     0.00  exp2reg
  0.00     26.12     0.00       63     0.00     0.00  luaK_exp2nextreg
  0.00     26.12     0.00       58     0.00     0.00  singlevar
  0.00     26.12     0.00       55     0.00     0.00  subexpr
  0.00     26.12     0.00       55     0.00     0.00  suffixedexp
  0.00     26.12     0.00       49     0.00     0.00  luaC_fix
  0.00     26.12     0.00       44     0.00     0.00  luaY_nvarstack
  0.00     26.12     0.00       43     0.00     0.00  inclinenumber
  0.00     26.12     0.00       42     0.00     0.00  addk
  0.00     26.12     0.00       42     0.00     0.00  luaM_shrinkvector_
  0.00     26.12     0.00       41     0.00     0.00  luaH_resize
  0.00     26.12     0.00       41     0.00     0.00  luaK_exp2anyreg
  0.00     26.12     0.00       40     0.00     0.00  luaO_ceillog2
  0.00     26.12     0.00       40     0.00     0.00  lua_pushvalue
  0.00     26.12     0.00       37     0.00     0.00  luaK_exp2anyregup
  0.00     26.12     0.00       37     0.00     0.00  luaK_indexed
  0.00     26.12     0.00       36     0.00     0.00  luaK_fixline
  0.00     26.12     0.00       36     0.00     0.00  lua_getfield
  0.00     26.12     0.00       34     0.00     0.00  luaV_equalobj
  0.00     26.12     0.00       33     0.00     0.00  luaE_extendCI
  0.00     26.12     0.00       32     0.00     0.00  luaG_traceexec
  0.00     26.12     0.00       31     0.00     0.00  luaD_poscall
  0.00     26.12     0.00       28     0.00     0.00  statement
  0.00     26.12     0.00       24     0.00     0.00  lua_pushstring
  0.00     26.12     0.00       22     0.00     0.00  new_localvar
  0.00     26.12     0.00       21     0.00     0.00  luaH_free
  0.00     26.12     0.00       21     0.00     0.00  luaH_new
  0.00     26.12     0.00       19     0.00     0.00  addstr2buff
  0.00     26.12     0.00       19     0.00     0.00  luaK_codeABCk
  0.00     26.12     0.00       18     0.00     0.00  luaK_ret
  0.00     26.12     0.00       18     0.00     0.00  lua_createtable
  0.00     26.12     0.00       17     0.00     0.00  luaO_str2num
  0.00     26.12     0.00       17     0.00     0.00  lua_pushboolean
  0.00     26.12     0.00       17     0.00     0.00  lua_rotate
  0.00     26.12     0.00       17     0.00     0.00  read_numeral
  0.00     26.12     0.00       16     0.00     0.00  funcargs
  0.00     26.12     0.00       16     0.00     0.00  luaD_callnoyield
  0.00     26.12     0.00       16     0.00     0.00  lua_checkstack
  0.00     26.12     0.00       15     0.00     0.00  luaL_setfuncs
  0.00     26.12     0.00       15     0.00     0.00  lua_absindex
  0.00     26.12     0.00       15     0.00     0.00  lua_getmetatable
  0.00     26.12     0.00       14     0.00     0.00  adjustlocalvars
  0.00     26.12     0.00       14     0.00     0.00  leaveblock
  0.00     26.12     0.00       14     0.00     0.00  luaK_int
  0.00     26.12     0.00       14     0.00     0.00  luaV_finishget
  0.00     26.12     0.00       13     0.00     0.00  check_readonly
  0.00     26.12     0.00       13     0.00     0.00  luaK_reserveregs
  0.00     26.12     0.00       13     0.00     0.00  luaK_storevar
  0.00     26.12     0.00       13     0.00     0.00  luaL_getsubtable
  0.00     26.12     0.00       13     0.00     0.00  lua_tolstring
  0.00     26.12     0.00       12     0.00     0.00  prepbuffsize
  0.00     26.12     0.00       11     0.00     0.00  luaK_exp2K
  0.00     26.12     0.00       11     0.00     0.00  luaS_hashlongstr
  0.00     26.12     0.00       11     0.00     0.00  lua_setglobal
  0.00     26.12     0.00       11     0.00     0.00  lua_toboolean
  0.00     26.12     0.00       10     0.00     0.00  codeABRK
  0.00     26.12     0.00       10     0.00     0.00  luaK_setreturns
  0.00     26.12     0.00       10     0.00     0.00  luaL_checkversion_
  0.00     26.12     0.00       10     0.00     0.00  luaL_requiref
  0.00     26.12     0.00       10     0.00     0.00  lua_callk
  0.00     26.12     0.00       10     0.00     0.00  lua_touserdata
  0.00     26.12     0.00       10     0.00     0.00  lua_version
  0.00     26.12     0.00        9     0.00     0.00  freeexps
  0.00     26.12     0.00        9     0.00     0.00  luaD_rawrunprotected
  0.00     26.12     0.00        9     0.00     0.00  luaK_codeABx
  0.00     26.12     0.00        9     0.00     0.00  luaK_infix
  0.00     26.12     0.00        9     0.00     0.00  luaK_posfix
  0.00     26.12     0.00        9     0.00     0.00  luaL_checkudata
  0.00     26.12     0.00        9     0.00     0.00  luaL_prepbuffsize
  0.00     26.12     0.00        9     0.00     0.00  luaL_testudata
  0.00     26.12     0.00        9     0.00     0.00  lua_rawequal
  0.00     26.12     0.00        8     0.00     0.00  lua_gettop
  0.00     26.12     0.00        8     0.00     0.00  lua_pushnumber
  0.00     26.12     0.00        7     0.00     0.00  constfolding
  0.00     26.12     0.00        7     0.00     0.00  finishbinexpval
  0.00     26.12     0.00        7     0.00     0.00  getgeneric
  0.00     26.12     0.00        7     0.00     0.00  luaD_pcall
  0.00     26.12     0.00        7     0.00     0.00  luaF_newCclosure
  0.00     26.12     0.00        6     0.00     0.00  close_func
  0.00     26.12     0.00        6     0.00     0.00  get2digits
  0.00     26.12     0.00        6     0.00     0.00  luaF_freeproto
  0.00     26.12     0.00        6     0.00     0.00  luaF_newproto
  0.00     26.12     0.00        6     0.00     0.01  luaH_setint
  0.00     26.12     0.00        6     0.00     0.00  luaK_finish
  0.00     26.12     0.00        6     0.00     0.00  luaL_callmeta
  0.00     26.12     0.00        6     0.00     0.00  luaL_tolstring
  0.00     26.12     0.00        6     0.00     0.00  luaO_pushvfstring
  0.00     26.12     0.00        6     0.00     0.00  luaT_gettm
  0.00     26.12     0.00        6     0.00     0.00  lua_pushfstring
  0.00     26.12     0.00        6     0.00     0.01  lua_rawseti
  0.00     26.12     0.00        6     0.00     0.00  lua_tointegerx
  0.00     26.12     0.00        6     0.00     0.00  lua_type
  0.00     26.12     0.00        6     0.00     0.00  os_clock
  0.00     26.12     0.00        6     0.00     0.00  patchlistaux
  0.00     26.12     0.00        5     0.00     0.00  body
  0.00     26.12     0.00        5     0.00     0.00  fieldsel
  0.00     26.12     0.00        5     0.00     0.00  luaK_setoneret
  0.00     26.12     0.00        5     0.00     0.00  lua_pushinteger
  0.00     26.12     0.00        5     0.00     0.00  lua_setmetatable
  0.00     26.12     0.00        5     0.00     0.00  restassign
  0.00     26.12     0.00        4     0.00     3.68  GCTM
  0.00     26.12     0.00        4     0.00     0.00  allocupvalue
  0.00     26.12     0.00        4     0.00     0.00  check_next2
